video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,2284,31.235369,50.270974,40,4341.909338546477,250.91775356561425,4592.827092112091
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,407,27.062092,11.771437,50,3400.783593,209.0584963,3609.842089
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,66989,38.134153,94.215484,10,5019.288434211448,365.3697796,5384.658213809929
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,22121,36.32078,85.837761,20,3689.162943284645,642.0230393519897,4331.185982636635
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,4566,32.840671,62.679531,30,1535.945182421449,97.45633876,1633.4015211766218
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,698,28.786729,26.006888,40,1005.441719869502,55.02245365131764,1060.4641735208197
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,119,25.313963,0.637746,50,794.9935639914899,40.17255041,835.1661144039898
HDR_2160P-06ae,HDR_2160P-06ae_downsample_720p,720,1280,720,yuv420p10le,24,4767631,32170,33.834301,80.134044,10,2308.768476,202.8530156582432,2511.6214916897634
HDR_2160P-06ae,HDR_2160P-06ae_downsample_720p,720,1280,720,yuv420p10le,24,4767631,10234,32.961973,68.945654,20,1394.5006345839308,92.49278432709332,1486.993418911024
HDR_2160P-06ae,HDR_2160P-06ae_downsample_720p,720,1280,720,yuv420p10le,24,4767631,2234,30.760597,43.596194,30,694.1408871001813,57.40203386764186,751.5429209678232
HDR_2160P-06ae,HDR_2160P-06ae_downsample_720p,720,1280,720,yuv420p10le,24,4767631,342,27.520528,12.294233,40,445.22405251835823,22.79691700950625,468.0209695278645
HDR_2160P-06ae,HDR_2160P-06ae_downsample_720p,720,1280,720,yuv420p10le,24,4767631,60,24.388497,0.051899,50,341.2992362765378,15.13466519,356.4339014706278
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,92149,52.471421,98.896975,10,14524.452355334628,672.3812210273376,15196.833576361963
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,28572,45.873245,96.595345,20,9429.513278377686,401.373825,9830.887103343655
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,5833,40.902266,85.833948,30,6332.162599259788,206.5343204092236,6538.696919669012
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,1276,35.688885,59.566219,40,4346.087909744397,158.3851535,4504.473063208747
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,409,30.469461,30.489131,50,3327.730494677012,145.01543824986666,3472.7459329268786
Sports_2160P-1261,Sports_2160P-1261_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,35519,41.637487,95.302881,10,4019.7488382550096,252.9125669498677,4272.661405204877
Sports_2160P-1261,Sports_2160P-1261_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,8940,40.102759,88.793994,20,2312.1502079674497,105.85958432948571,2418.009792296936
