video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_1080p,1080,1920,1080,yuv420p,60,5971994,397,34.941943,53.152604,40,3425.335047174142,169.96984839634152,3595.3048955704835
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_1080p,1080,1920,1080,yuv420p,60,5971994,172,30.101605,21.151417,50,3109.456633837892,134.9966145,3244.453248337892
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_720p,720,1280,720,yuv420p,60,5971994,14147,39.01962,81.724902,10,5641.341384075575,489.7781090143228,6131.119493089897
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_720p,720,1280,720,yuv420p,60,5971994,3142,38.311174,74.667321,20,3461.415918,259.8709921964285,3721.2869103717594
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_720p,720,1280,720,yuv420p,60,5971994,801,36.467715,59.566216,30,2407.680015882075,157.99794142248066,2565.677957304556
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_720p,720,1280,720,yuv420p,60,5971994,210,32.870215,36.506739,40,1868.4849653366289,100.66996820679012,1969.154933543419
Gaming_2160P-34a1,Gaming_2160P-34a1_downsample_720p,720,1280,720,yuv420p,60,5971994,91,28.552552,7.959159,50,1669.8386693107984,67.6121355,1737.4508048107984
Sports_2160P-1733,Sports_2160P-1733,2160,3840,2160,yuv420p,30,2985997,98951,51.660438,98.661095,10,18989.63536970236,1125.923655862069,20115.55902556443
Sports_2160P-1733,Sports_2160P-1733,2160,3840,2160,yuv420p,30,2985997,28292,45.629416,98.059416,20,12819.774950185876,611.5412188235293,13431.316169009406
Sports_2160P-1733,Sports_2160P-1733,2160,3840,2160,yuv420p,30,2985997,6659,40.023212,92.349289,30,8987.214589736843,343.8340688,9331.048658486843
Sports_2160P-1733,Sports_2160P-1733,2160,3840,2160,yuv420p,30,2985997,1564,34.352287,68.909873,40,6929.954190566044,250.9840125,7180.938203066044
Sports_2160P-1733,Sports_2160P-1733,2160,3840,2160,yuv420p,30,2985997,435,29.012332,35.350549,50,5837.393653087248,167.32547,6004.719123087248
Sports_2160P-1733,Sports_2160P-1733_downsample_1080p,1080,1920,1080,yuv420p,30,2985997,35877,42.346802,97.369848,10,5558.613752,572.9273330961539,6131.541085019234
Sports_2160P-1733,Sports_2160P-1733_downsample_1080p,1080,1920,1080,yuv420p,30,2985997,10056,40.136268,94.288423,20,3463.078525265874,320.40021743386257,3783.478742699736
Sports_2160P-1733,Sports_2160P-1733_downsample_1080p,1080,1920,1080,yuv420p,30,2985997,2456,36.206255,78.966916,30,2370.3379098658684,195.83857486224488,2566.1764847281133
Sports_2160P-1733,Sports_2160P-1733_downsample_1080p,1080,1920,1080,yuv420p,30,2985997,539,31.172734,49.311871,40,1882.907559311241,108.67234093333332,1991.5799002445744
Sports_2160P-1733,Sports_2160P-1733_downsample_1080p,1080,1920,1080,yuv420p,30,2985997,149,26.760426,20.528065,50,1674.7818393648224,83.08702514705882,1757.8688645118812
Sports_2160P-1733,Sports_2160P-1733_downsample_720p,720,1280,720,yuv420p,30,2985997,18711,37.309562,91.35589,10,3347.637217625801,389.4821249770408,3737.1193426028417
Sports_2160P-1733,Sports_2160P-1733_downsample_720p,720,1280,720,yuv420p,30,2985997,5359,36.225319,83.828342,20,2070.5074077844565,217.08702698437492,2287.5944347688314
Sports_2160P-1733,Sports_2160P-1733_downsample_720p,720,1280,720,yuv420p,30,2985997,1331,33.60479,65.184783,30,1306.037628613013,139.33962025490192,1445.3772488679151
Sports_2160P-1733,Sports_2160P-1733_downsample_720p,720,1280,720,yuv420p,30,2985997,282,29.452235,36.562222,40,939.8013086529852,70.14763611979167,1009.9489447727768
